"Question ID","Question","Location","Markers","Reason","Original question","Original answer","Revised customer answer","Alternative questions","Review references"
"Q-011","What is Inventory Management?","Inventory Management","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What is Inventory Management?","Inventory Management controls Merchant SKUs, SKU mappings, warehouse quantities, inbound stock, outbound stock, and inventory history.","Location: Inventory Management
Inventory Management controls Merchant SKUs, SKU mappings, warehouse quantities, inbound stock, outbound stock, and inventory history.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/inventoryManagement | Backend: modules/inventory; modules/inbound; modules/outbound"
"Q-012","What is Order Management?","Order Management","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What is Order Management?","Order Management controls order processing, shipping stages, returns, cancellations, and manual orders.","Location: Order Management
Order Management controls order processing, shipping stages, returns, cancellations, and manual orders.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/orderManagement/orderProcessing; src/features/orderManagement/shared | Backend: modules/orders; modules/returnOrders"
"Q-013","What is Warehouse Management?","Warehouse Management","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What is Warehouse Management?","Warehouse Management controls the warehouses or inventory locations used by the ERP.","Location: Warehouse Management
Warehouse Management controls the warehouses or inventory locations used by the ERP.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/warehouseManagement | Backend: modules/warehouses"
"Q-014","What is System Configuration?","System Configuration","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What is System Configuration?","System Configuration manages store connections, Sub Accounts, roles, and permissions.","Location: System Configuration
System Configuration manages store connections, Sub Accounts, roles, and permissions.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/systemConfigaration | Backend: modules/auth; modules/roles; modules/users/users.routes.js"
"Q-015","How do I open a submenu?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","How do I open a submenu?","Click a section such as Product Management or Inventory Management.
The related pages should appear below it.","Location: Dashboard
Click a section such as Product Management or Inventory Management.
The related pages should appear below it.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-016","How do I hide the sidebar?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","How do I hide the sidebar?","Use the Collapse sidebar button near the ERP logo.
This only changes the screen layout.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406867_WERP_Q-16.png","Location: Dashboard
Use the Collapse sidebar button near the ERP logo.
This only changes the screen layout.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-017","What is the Overview section?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","What is the Overview section?","Overview provides quick summary cards for important product, order, and stock conditions.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406868_WERP_Q-17.png","Location: Dashboard
Overview provides quick summary cards for important product, order, and stock conditions.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-018","What does Total Platform Products mean?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Confirmed listing count and actual card destination.","What does Total Platform Products mean?","It represents products connected or synchronized from supported marketplace stores.
It may count marketplace listings rather than unique physical products.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406869_WERP_Q-18.png","Location: Dashboard
Total Platform Products counts marketplace product listings saved for your company. A product with several variations is not necessarily counted once per variation. Click the card to open Inventory Management > SKU Mapping > By Product and inspect the listings.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-019","Why might Total Platform Products differ from Merchant SKUs?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why might Total Platform Products differ from Merchant SKUs?","A marketplace product and a Merchant SKU are not the same thing.
Platform product means a marketplace listing.
Merchant SKU means the internal inventory identity.
Several marketplace listings can be connected to one Merchant SKU.","Location: Dashboard
A marketplace product and a Merchant SKU are not the same thing.
Platform product means a marketplace listing.
Merchant SKU means the internal inventory identity.
Several marketplace listings can be connected to one Merchant SKU.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-020","What does Today's Orders mean?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Corrected the data source and added the exact destination.","What does Today’s Orders mean?","It represents orders recorded by the ERP for the current day.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406870_WERP_Q-20.png","Location: Dashboard
Today's Orders counts distinct marketplace orders recorded in the ERP's sales records for today. It is not a count of every order type in the system. Click the card to open Order Management > Order Processing > All Order with today's date filter.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-021","Why might Today's Orders differ from the marketplace?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why might Today’s Orders differ from the marketplace?","Possible reasons include:
Synchronization delay
Different timezone
Store filter differences
Cancelled orders
Manual orders
Marketplace processing delay","Location: Dashboard
Possible reasons include:
- Synchronization delay
- Different timezone
- Store filter differences
- Cancelled orders
- Manual orders
- Marketplace processing delay","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-022","What timezone is used for Today's Orders?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED","Distinguished the code-defined day boundary from the unverified deployment timezone.","What timezone is used for Today’s Orders?","The Dashboard does not clearly display the timezone used for the daily count.
If orders appear under the wrong day, ask the administrator which account, server, store, or marketplace timezone is being used.","Location: Dashboard
The daily summary uses the ERP server's day boundary. The Dashboard does not show the server timezone. If a date differs from your marketplace report, compare the same store and period and ask support to confirm the timezone used by your hosted ERP.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-023","What does Low Stock mean?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Confirmed threshold and destination.","What does Low Stock mean?","Low Stock means some inventory remains, but the quantity has reached the configured warning level.
The product may still be sellable, but replenishment should be considered.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406871_WERP_Q-23.png","Location: Dashboard
Low Stock counts warehouse stock records with a quantity above zero and at or below their minimum-stock warning level. Click Low Stock to open Inventory Management > Inventory List with the low-stock filter applied.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-024","How is the low-stock level decided?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED","Added the complete warning-setting workflow.","How is the low-stock level decided?","The warning level is normally based on a configured stock-alert threshold.
The Product List includes a Batch Stock Alert Setting function for applying thresholds to selected products.","Location: Dashboard
Go to Product Management > Product List. Select the products, open Bulk Action, and choose Batch Stock Alert Setting. Enter Set minimum Stock, then click Set. You can also set a warning under Inventory Management > Inventory List > Bulk Action > Stock alert settings. Setting a warning does not add or remove stock.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-025","Does Low Stock mean the product cannot be sold?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Does Low Stock mean the product cannot be sold?","No. It usually means the product still has stock but is approaching its warning limit.","Location: Dashboard
No. It usually means the product still has stock but is approaching its warning limit.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-026","What does Out of Stock mean?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED; IMAGE CHECK NEEDED","Corrected on-hand versus available-stock wording.","What does Out of Stock mean?","Out of Stock means the ERP has no available inventory for the relevant product or SKU.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406872_WERP_Q-26.png","Location: Dashboard
Out of Stock counts warehouse stock records whose recorded quantity is zero or below. Click the card to open Inventory Management > Inventory List with the out-of-stock filter. A separate Lock Quantity can reduce available stock even when Quantity is above zero.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-027","Why might a product appear out of stock when physical stock exists?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why might a product appear out of stock when physical stock exists?","Possible reasons include:
Stock was not received in the ERP.
The wrong warehouse is being checked.
SKU mapping is missing.
Inventory synchronization failed.
Stock is locked for active orders.
The physical count has not been recorded.
The product is connected to the wrong Merchant SKU.","Location: Dashboard
Possible reasons include:
Stock was not received in the ERP.
The wrong warehouse is being checked.
SKU mapping is missing.
Inventory synchronization failed.
Stock is locked for active orders.
The physical count has not been recorded.
The product is connected to the wrong Merchant SKU.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-028","Can I click an Overview card?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED","Replaced uncertain destinations with confirmed navigation.","Can I click an Overview card?","The cards are designed as interactive controls and may open a related detailed page or filtered list.
After clicking, verify which page and filter were opened.","Location: Dashboard
Yes. Total Platform Products opens Inventory Management > SKU Mapping > By Product. Today's Orders opens Order Management > Order Processing > All Order for today. Low Stock and Out of Stock open Inventory Management > Inventory List with the corresponding stock filter.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-029","Where should I investigate an incorrect product total?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED","Corrected the page used to investigate platform product totals.","Where should I investigate an incorrect product total?","Check:
Product Management → Product List
Inventory Management → Inventory List","Location: Dashboard
Click Total Platform Products on the Dashboard, or go to Inventory Management > SKU Mapping > By Product. Check Select Platform, Select Shop, and the product search. Product Management > Product List contains internal Merchant SKU records, so its total can legitimately differ.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-030","Where should I investigate incorrect stock information?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED","Added an actionable investigation sequence.","Where should I investigate incorrect stock information?","Check:
Inventory List
Merchant SKU
SKU Mapping
Inbound
Outbound
Inventory Log
Selected warehouse","Location: Dashboard
Go to Inventory Management > Inventory List and select the affected warehouse. Search for the SKU and compare Quantity with Lock Quantity. Then use Inventory Management > Inventory Log to check stock movements, and SKU Mapping > By Product to check the marketplace connection.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-031","What is the Inventory Status chart?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","What is the Inventory Status chart?","Inventory Status shows daily Stock-In and Stock-Out activity for a selected month.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406873_WERP_Q-31.png","Location: Dashboard
Inventory Status shows daily Stock-In and Stock-Out activity for a selected month.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-032","What does Stock-In mean?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What does Stock-In mean?","Stock-In represents inventory added to a warehouse.
It can include completed inbound or manual receiving transactions.","Location: Dashboard
Stock-In represents inventory added to a warehouse.
It can include completed inbound or manual receiving transactions.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-033","What does Stock-Out mean?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","What does Stock-Out mean?","Stock-Out represents inventory removed from a warehouse.
It can include order fulfillment, outbound operations, or other stock deductions.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406874_WERP_Q-33.png","Location: Dashboard
Stock-Out represents inventory removed from a warehouse.
It can include order fulfillment, outbound operations, or other stock deductions.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-034","How do I change the Inventory Status period?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","How do I change the Inventory Status period?","Use the year and month selectors above the chart.
Changing the reporting period does not change inventory records.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406875_WERP_Q-34.png","Location: Dashboard
Use the year and month selectors above the chart.
Changing the reporting period does not change inventory records.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-035","Why does the chart show dates across the bottom?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why does the chart show dates across the bottom?","The horizontal axis represents days in the selected month.
Some labels may be skipped to keep the chart readable.","Location: Dashboard
The horizontal axis represents days in the selected month.
Some labels may be skipped to keep the chart readable.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-036","Why does the Inventory Status chart show no activity?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why does the Inventory Status chart show no activity?","Possible reasons include:
No stock moved during the selected period.
Inbound records are still drafts.
Outbound records are not completed.
No warehouse inventory exists.
The wrong period is selected.
The page has not finished loading.","Location: Dashboard
Possible reasons include:
No stock moved during the selected period.
Inbound records are still drafts.
Outbound records are not completed.
No warehouse inventory exists.
The wrong period is selected.
The page has not finished loading.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-037","Does Stock-In include inventory that is still On The Way?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED","Confirmed chart ledger source and receiving distinction.","Does Stock-In include inventory that is still On The Way?","Not necessarily. Inventory may need to be received or completed before it is counted as available stock.","Location: Dashboard
No. Inbound > On The Way represents stock expected at the warehouse. Stock-In records an actual positive stock movement, such as a confirmed receipt. Use Inventory Management > Inbound > On The Way > Receive after the goods arrive.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-038","Where can I see the reason for a stock movement?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Where can I see the reason for a stock movement?","Go to:
Inventory Management → Inventory Log
The log includes the movement purpose, quantity, remaining quantity, and operation time.","Location: Dashboard
Go to:
- Inventory Management - Inventory Log
The log includes the movement purpose, quantity, remaining quantity, and operation time.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-039","Can I filter the Dashboard inventory chart by warehouse?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED","Replaced reviewer language with direct customer guidance.","Can I filter the Dashboard inventory chart by warehouse?","No visible warehouse selector is provided on the chart.
For warehouse-specific information, use Inventory List or Inventory Log and select the warehouse there.","Location: Dashboard
Dashboard > Inventory Status does not have a warehouse selector. To investigate one warehouse, go to Inventory Management > Inventory List or Inventory Log and select that warehouse. Use the Dashboard chart for the combined activity it displays.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-040","What is the Order Status section?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","What is the Order Status section?","Order Status summarizes orders by their current processing stage for a selected date range.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406876_WERP_Q-40.png","Location: Dashboard
Order Status summarizes orders by their current processing stage for a selected date range.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-041","What does Total mean in Order Status?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","What does Total mean in Order Status?","Total represents the combined orders included in the selected date range and status summary.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406877_WERP_Q-41.png","Location: Dashboard
Total represents the combined orders included in the selected date range and status summary.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-042","What are Pending Orders?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What are Pending Orders?","Pending Orders are waiting for an initial action or marketplace-processing result.","Location: Dashboard
Pending Orders are waiting for an initial action or marketplace-processing result.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-043","What are Processing Orders?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What are Processing Orders?","Processing Orders are being prepared, packed, pushed, or moved through the fulfillment workflow.","Location: Dashboard
Processing Orders are being prepared, packed, pushed, or moved through the fulfillment workflow.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-044","What are Shipped Orders?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What are Shipped Orders?","Shipped Orders have been dispatched but are not yet considered completed.","Location: Dashboard
Shipped Orders have been dispatched but are not yet considered completed.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-045","What are Completed Orders?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What are Completed Orders?","Completed Orders have reached the final normal fulfillment stage.
Depending on the marketplace, completion may mean delivered, buyer-confirmed, or finalized.","Location: Dashboard
Completed Orders have reached the final normal fulfillment stage.
Depending on the marketplace, completion may mean delivered, buyer-confirmed, or finalized.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-046","What are Cancelled Orders?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","What are Cancelled Orders?","Cancelled Orders are orders whose normal fulfillment process was stopped.","Location: Dashboard
Cancelled Orders are orders whose normal fulfillment process was stopped.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-047","How do I change the Order Status period?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","How do I change the Order Status period?","Use the displayed date-range control in the Order Status section.
Choose the period you want to review.","Location: Dashboard
Use the displayed date-range control in the Order Status section.
Choose the period you want to review.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-048","Does changing the date range modify orders?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED; IMAGE CHECK NEEDED","Meaning retained after section review.","Does changing the date range modify orders?","No. It only changes which orders are included in the summary.
You can see the process through the app screenshots https://printernoble.com/chatbot/uploads/1788406878_WERP_Q-48.png","Location: Dashboard
No. It only changes which orders are included in the summary.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-049","Can I click an order-status category?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED","Confirmed date-range navigation without promising identical counts.","Can I click an order-status category?","The status categories are presented as interactive controls and may open the related order list.
Verify the destination and applied filters after opening one.","Location: Dashboard
Yes. Click a category in Dashboard > Order Status to open its related order view. The selected date range is carried into the order view. Check the destination filters before comparing its count with the Dashboard.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-050","Why does the order total differ from the sum I expected?","Dashboard","REVIEWED - MEANING RETAINED; FORMAT UPDATED","Meaning retained after section review.","Why does the order total differ from the sum I expected?","Possible reasons include:
Date filters
Different status definitions
Marketplace synchronization delays
Returns
Cancellations
Manual orders
Orders changing status during the review","Location: Dashboard
Possible reasons include:
- Date filters
- Different status definitions
- Marketplace synchronization delays
- Returns
- Cancellations
- Manual orders
- Orders changing status during the review","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
"Q-051","Where can I find a specific order?","Dashboard","MODIFIED ANSWER; FORMAT UPDATED","Added the exact search path and separate manual-order locations.","Where can I find a specific order?","Go to Order Management and search using:
Order Number
Tracking Number
Package Number
SKU","Location: Dashboard
Go to Order Management > Order Processing > All Order. Select the correct platform, store, date range, and search type, then enter the order number and click Search. For orders created directly in the ERP, also check Order Management > Manual Order or Platform Manual Order.","","Frontend: src/router/routes.jsx; src/components/layout/Sidebar.jsx; src/i18n.js | Frontend: src/features/dashboard | Backend: modules/dashboard"
